Aluminum Hydroxide-Al(OH)3
Ammonium Hydroxide-NH4OH
Arsenic Hydroxide-As(OH)3
Barium Hydroxide-Ba(OH)2
Beryllium Hydroxide-Be(OH)2
Bismuth(III) Hydroxide-Bi(OH)3
Boron Hydroxide-B(OH)3
Cadmium Hydroxide-Cd(OH)2
Calcium Hydroxide-Ca(OH)2
Cerium(III) Hydroxide-Ce(OH)3
Cesium Hydroxide-CsOH
Chromium(II) Hydroxide-Cr(OH)2
Chromium(III) Hydroxide-Cr(OH)3
Chromium(V) Hydroxide-Cr(OH)5
Chromium(VI) Hydroxide-Cr(OH)6
Cobalt(II) Hydroxide-Co(OH)2
Cobalt(III) Hydroxide-Co(OH)3
Copper(I) Hydroxide-CuOH
Copper(II) Hydroxide-Cu(OH)2
Gallium(II) Hydroxide-Ga(OH)2
Gallium(III) Hydroxide-Ga(OH)3
Gold(I) Hydroxide-AuOH
Gold(III) Hydroxide-Au(OH)3
Indium(I) Hydroxide-InOH
Indium(II) Hydroxide-In(OH)2
Indium(III) Hydroxide-In(OH)3
Iridium(III) Hydroxide-Ir(OH)3
Iron(II) Hydroxide-Fe(OH)2
Iron(III) Hydroxide-Fe(OH)3
Lanthanum Hydroxide-La(OH)3
Lead(II) Hydroxide-Pb(OH)2
Lead(IV) Hydroxide-Pb(OH)4
Lithium Hydroxide-LiOH
Magnesium Hydroxide-Mg(OH)2
Manganese(II) Hydroxide-Mn(OH)2
Manganese(III) Hydroxide-Mn(OH)3
Manganese(IV) Hydroxide-Mn(OH)4
Manganese(VII) Hydroxide-Mn(OH)7
Mercury(I) Hydroxide-Hg2(OH)2
Mercury(II) Hydroxide-Hg(OH)2
Molybdenum Hydroxide-Mo(OH)3
Neodymium Hydroxide-Nd(OH)3
Nickel Oxohydroxide-NiOOH
Nickel(II) Hydroxide-Ni(OH)2
Nickel(III) Hydroxide-Ni(OH)3
Niobium Hydroxide-Nb(OH)3
Osmium(IV) Hydroxide-Os(OH)4
Palladium(II) Hydroxide-Pd(OH)2
Palladium(IV) Hydroxide-Pd(OH)4
Platinum(II) Hydroxide-Pt(OH)2
Platinum(IV) Hydroxide-Pt(OH)4
Plutonium(IV) Hydroxide-Pu(OH)4
Potassium Hydroxide-KOH
Radium Hydroxide-Ra(OH)2
Rubidium Hydroxide-RbOH
Ruthenium(III) Hydroxide-Ru(OH)3
Scandium Hydroxide-Sc(OH)3
Silicon Hydroxide-Si(OH)4
Silver Hydroxide-AgOH
Sodium Hydroxide-NaOH
Strontium Hydroxide-Sr(OH)2
Tantalum(V) Hydroxide-Ta(OH)5
Technetium(II) Hydroxide-Tc(OH)2
Tetramethylammonium Hydroxide-C4H12NOH
Thallium(I) Hydroxide-TlOH
Thallium(III) Hydroxide-Tl(OH)3
Thorium Hydroxide-Th(OH)4
Tin(II) Hydroxide-Sn(OH)2
Tin(IV) Hydroxide-Sn(OH)4
Titanium(II) Hydroxide-Ti(OH)2
Titanium(III) Hydroxide-Ti(OH)3
Titanium(IV) Hydroxide-Ti(OH)4
Tungsten(II) Hydroxide-W(OH)2
Uranyl Hydroxide-(UO2)2(OH)4
Vanadium(II) Hydroxide-V(OH)2
Vanadium(III) Hydroxide-V(OH)3
Vanadium(V) Hydroxide-V(OH)5
Ytterbium Hydroxide-Yb(OH)3
Yttrium Hydroxide-Y(OH)3
Zinc Hydroxide-Zn(OH)2
Zirconium Hydroxide-Zr(OH)4
